Id,Label,timeset,dominant_topic,color,color_cluster,pub_sum,label_size,node_size,modularity_class
2721,"Grünbaum, Adolf",,G-Quantum (14),"#EF8864","#EF8864",30,17,4,5
5645,"Popper, Karl R.",,C-Confirmation (20),"#DCEDC8","#AED681",22,16,4,0
942,"Bunge, Mario",,H-Philosophy (6),"#A1887F","#A1887F",17,13,4,5
2570,"Good, Irving John",,C-Probability (9),"#AED681","#AED681",21,13,4,0
6951,"Suppes, Patrick",,A-Formal (4),"#B2DFDB","#53B6AC",41,12,4,20
4401,"Madden, Edward H.",,C-Confirmation (20),"#DCEDC8","#AED681",14,12,3,0
5876,"Rescher, Nicholas",,B-Arguments (22),"#97D8A3","#81C884",18,11,3,0
37,"Agassi, Joseph",,B-Arguments (22),"#97D8A3","#81C884",27,10,3,0
1720,"Dingle, Herbert",,H-Classics (24),"#D8CCC7","#A1887F",12,10,3,5
6184,"Salmon, Wesley C.",,C-Confirmation (20),"#DCEDC8","#AED681",26,10,3,0
3049,"Hesse, Mary B.",,C-Confirmation (20),"#DCEDC8","#AED681",17,9,3,0
6092,"Rozeboom, William W.",,A-Formal (4),"#B2DFDB","#53B6AC",13,9,3,10
330,"Bar-Hillel, Yehoshua",,A-Language (17),"#80CBC4","#53B6AC",10,9,3,10
16,"Ackermann, Robert J.",,C-Confirmation (20),"#DCEDC8","#AED681",12,9,3,0
1732,"Dobbs, H. A. C.",,G-Quantum (14),"#EF8864","#EF8864",10,8,3,5
6294,"Schlesinger, George N.",,C-Confirmation (20),"#DCEDC8","#AED681",15,8,3,0
7558,"Watkins, John W. N.",,C-Confirmation (20),"#DCEDC8","#AED681",14,8,3,0
3549,"Kapp, Reginald O.",,C-Confirmation (20),"#DCEDC8","#AED681",8,8,3,5
3099,"Hintikka, Jaakko",,B-Arguments (22),"#97D8A3","#81C884",53,8,3,10
4498,"Margenau, Henry",,G-Quantum (14),"#EF8864","#EF8864",17,7,3,5
568,"Beth, Evert W.",,H-Philosophy (6),"#A1887F","#A1887F",13,7,3,10
7695,"Whyte, L. L.",,G-Particles (3),"#F3AA91","#EF8864",8,7,3,5
7780,"Wisdom, J. O.",,C-Confirmation (20),"#DCEDC8","#AED681",8,7,3,0
4148,"Levi, Isaac",,C-Probability (9),"#AED681","#AED681",38,7,3,0
15,"Achinstein, Peter",,C-Confirmation (20),"#DCEDC8","#AED681",22,7,3,0
2772,"Hacking, Ian",,C-Probability (9),"#AED681","#AED681",18,7,3,0
3115,"Hochberg, Herbert",,A-Language (17),"#80CBC4","#53B6AC",9,7,3,10
3641,"Keswani, G. H.",,G-Quantum (14),"#EF8864","#EF8864",9,7,3,5
4001,"Landé, Alfred",,G-Particles (3),"#F3AA91","#EF8864",8,7,3,5
2856,"Hanson, Norwood Russell",,G-Particles (3),"#F3AA91","#EF8864",7,7,3,5
3929,"Kyburg, Henry E.",,C-Probability (9),"#AED681","#AED681",21,7,3,0
5745,"Quine, Willard Van Orman",,A-Language (17),"#80CBC4","#53B6AC",13,6,2,10
6434,"Sellars, Wilfrid",,A-Language (17),"#80CBC4","#53B6AC",11,6,2,10
7321,"Van Fraassen, Bas C.",,G-Quantum (14),"#EF8864","#EF8864",32,6,2,5
6574,"Simon, Herbert A.",,A-Formal (4),"#B2DFDB","#53B6AC",20,6,2,0
7758,"Wilson, Fred",,C-Confirmation (20),"#DCEDC8","#AED681",9,6,2,10
3971,"Lakatos, Imre",,A-Mathematical (15),"#53B6AC","#53B6AC",8,6,2,20
4501,"Margolis, Joseph",,B-Arguments (22),"#97D8A3","#81C884",8,6,2,14
4542,"Martin, Michael",,C-Confirmation (20),"#DCEDC8","#AED681",8,6,2,0
1613,"De Witte, A. J. J.",,A-Language (17),"#80CBC4","#53B6AC",6,6,2,10
4818,"Michalos, Alex C.",,C-Confirmation (20),"#DCEDC8","#AED681",6,6,2,0
6686,"Smythies, J. R.",,E-Perception (10),"#F9D849","#FDF176",6,6,2,1
7171,"Toulmin, Stephen",,H-Social (18),"#8D6E63","#A1887F",6,6,2,14
1930,"Ellis, Brian",,G-Quantum (14),"#EF8864","#EF8864",12,6,2,5
3007,"Hempel, Carl G.",,A-Language (17),"#80CBC4","#53B6AC",23,5,2,0
2056,"Feibleman, James K.",,H-Philosophy (6),"#A1887F","#A1887F",11,5,2,13
916,"Buchdahl, Gerd",,H-Philosophy (6),"#A1887F","#A1887F",9,5,2,13
6291,"Schlegel, Richard",,G-Quantum (14),"#EF8864","#EF8864",7,5,2,5
3262,"Hull, David L.",,E-Evolution (5),"#FEFAC4","#FDF176",15,5,2,2
6121,"Ruse, Michael E.",,E-Evolution (5),"#FEFAC4","#FDF176",14,5,2,2
6265,"Scheffler, Israel",,B-Arguments (22),"#97D8A3","#81C884",10,5,2,10
987,"Butts, Robert E.",,H-Philosophy (6),"#A1887F","#A1887F",9,5,2,13
2455,"Giedymin, Jerzy",,A-Language (17),"#80CBC4","#53B6AC",9,5,2,10
